address,bedrooms,area,price
"Avenida Lúcio Costa, 3604 - Barra da Tijuca, Rio de Janeiro - RJ",4,165,2500000
"Avenida Lúcio Costa, 4700 - Barra da Tijuca, Rio de Janeiro - RJ",1,55,750000
"Avenida Embaixador Abelardo Bueno - Barra da Tijuca, Rio de Janeiro - RJ",3,128,680000
"Rua Jornalista Henrique Cordeiro, 350 - Barra da Tijuca, Rio de Janeiro - RJ",2,70,960000
"Avenida Lúcio Costa, 35oo - Barra da Tijuca, Rio de Janeiro - RJ",2,72,1100000
"Rua Oscar Valdetaro, 176 - Barra da Tijuca, Rio de Janeiro - RJ",2,100,999000
"Avenida Prefeito Dulcídio Cardoso, 3040 - Barra da Tijuca, Rio de Janeiro - RJ",2,66,860000
"Rua Mário Covas Júnior, 215 - Barra da Tijuca, Rio de Janeiro - RJ",2,86,880000
"Avenida Afonso Arinos de Melo Franco, 191 - Barra da Tijuca, Rio de Janeiro - RJ",2,75,750000
"Estrada Coronel Pedro Corrêa, 870 - Barra da Tijuca, Rio de Janeiro - RJ",2,67,336000
"Praça Ministro Victor Nunes Leal, 130 - Barra da Tijuca, Rio de Janeiro - RJ",4,220,1450000
"Avenida Evandro Lins e Silva, 440 - Barra da Tijuca, Rio de Janeiro - RJ",2,60,750000
"Avenida Embaixador Abelardo Bueno, 600 - Barra da Tijuca, Rio de Janeiro - RJ",3,102,850000
"Avenida Lúcio Costa, 5706 - Barra da Tijuca, Rio de Janeiro - RJ",1,60,800000
"Avenida das Américas, 411 - Barra da Tijuca, Rio de Janeiro - RJ",1,70,685000
"Avenida Ayrton Senna, 233 - Barra da Tijuca, Rio de Janeiro - RJ",3,110,1447000
"Rua Jornalista Henrique Cordeiro, 350 - Barra da Tijuca, Rio de Janeiro - RJ",3,115,1350000
"Rua Manuel Brasiliense - Barra da Tijuca, Rio de Janeiro - RJ",3,160,1600000
"Avenida Flamboyants da Península - Barra da Tijuca, Rio de Janeiro - RJ",2,119,2000000
"Avenida General Olyntho Pillar - Barra da Tijuca, Rio de Janeiro - RJ",3,132,1290000
"Rua Queiros Júnior, 131 - Barra da Tijuca, Rio de Janeiro - RJ",2,70,760000
"Avenida Olof Palme, 705 - Barra da Tijuca, Rio de Janeiro - RJ",3,73,485000
"Rua Coronel Paulo Malta Rezende, 35 - Barra da Tijuca, Rio de Janeiro - RJ",2,70,510000
"Rua Queiros Júnior, 181 - Barra da Tijuca, Rio de Janeiro - RJ",3,75,575001
"Rua Mário Covas Júnior, 135 - Barra da Tijuca, Rio de Janeiro - RJ",2,76,750000
"Avenida Prefeito Dulcídio Cardoso, 424 - Barra da Tijuca, Rio de Janeiro - RJ",2,192,1900000
"Avenida Djalma Ribeiro, 25 - Barra da Tijuca, Rio de Janeiro - RJ",3,83,680000
"Rua Coronel Paulo Malta Rezende, 35 - Barra da Tijuca, Rio de Janeiro - RJ",2,65,650000
"Avenida Monsenhor Ascaneo, 176 - Barra da Tijuca, Rio de Janeiro - RJ",3,151,1670000
"Avenida Prefeito Dulcídio Cardoso, 1200 - Barra da Tijuca, Rio de Janeiro - RJ",2,62,790000
"Rua Aldo Bonadei - Barra da Tijuca, Rio de Janeiro - RJ",3,164,1580000
"Avenida Pepe, 390 - Barra da Tijuca, Rio de Janeiro - RJ",1,70,1580000
"Rua Jornalista Henrique Cordeiro, 70 - Barra da Tijuca, Rio de Janeiro - RJ",2,85,849000
"Avenida Lúcio Costa, 6000 - Barra da Tijuca, Rio de Janeiro - RJ",2,54,1000000
"Avenida Vice-Presidente José Alencar, 1515 - Barra da Tijuca, Rio de Janeiro - RJ",3,92,800000
"Rua Coronel Aviador Antônio Arthur Braga - Barra da Tijuca, Rio de Janeiro - RJ",3,171,1790000
"Rua Desenhista Luiz Guimarães, 270 - Barra da Tijuca, Rio de Janeiro - RJ",4,152,1260000
"Rua César Lattes, 1000 - Barra da Tijuca, Rio de Janeiro - RJ",2,66,640000
"Avenida das Américas, 411 - Barra da Tijuca, Rio de Janeiro - RJ",1,76,610000
"Rua Ataulpho Coutinho - Barra da Tijuca, Rio de Janeiro - RJ",4,150,1350000
"Avenida das Américas, 411 - Barra da Tijuca, Rio de Janeiro - RJ",1,85,1290000
"Avenida Jaime Poggi, 99 - Barra da Tijuca, Rio de Janeiro - RJ",2,72,495000
"Avenida das Américas, 8888 - Barra da Tijuca, Rio de Janeiro - RJ",4,233,2789999
"Avenida Embaixador Abelardo Bueno, 3000 - Barra da Tijuca, Rio de Janeiro - RJ",2,78,430000
"Estrada do Engenho D'Agua, 1401 - Anil, Rio de Janeiro - RJ",3,70,387000
"Avenida Lúcio Costa, 6900 - Barra da Tijuca, Rio de Janeiro - RJ",1,70,910000
"Rua Desenhista Luiz Guimarães - Barra da Tijuca, Rio de Janeiro - RJ",4,152,1390000
